,value,metric,type
0,0.1504785680054716,kde,full
1,0.6962294978560719,kde,full
2,-2.094470049358215,kde,full
3,-2.6942548434857363,kde,full
4,2.346204887823055,kde,full
5,0.17479431487590247,kde,full
6,-1.1156928998507767,kde,full
7,0.3984267577437345,kde,full
8,1.860996981415175,kde,full
9,8.909599706045558,kde,full
10,-1.9300620362522323,kde,full
11,-2.6326068155261138,kde,full
12,1.9074191000239376,kde,full
13,-1.0743103239665786,kde,full
14,-1.133846687356395,kde,full
15,-0.4312588024848104,kde,full
16,-1.3853148542412026,kde,full
17,3.72764864644913,kde,full
18,15.97490401498072,kde,full
19,-0.6536187087569261,kde,full
20,-2.6381990347659916,kde,full
21,-1.6665645200771835,kde,full
22,-2.071481657609563,kde,full
23,1.615610776560984,kde,full
24,-0.16941946372871508,kde,full
25,-0.04657465006486439,kde,full
26,-2.1831495825367546,kde,full
27,0.3733103708692255,kde,full
28,9.035546380941021,kde,full
29,2.430979924737305,kde,full
30,-2.50681130926855,kde,full
31,-2.2311445322054313,kde,full
32,-1.1048518028962673,kde,full
33,1.0694145908139747,kde,full
34,1.427438701403045,kde,full
35,-1.4631035879431815,kde,full
36,-2.985540290546801,kde,full
37,2.1381988488618022,kde,full
38,4.023121703419924,kde,full
39,-2.185368149291327,kde,full
40,-0.9251372316823818,kde,full
41,-1.9927098695447136,kde,full
42,0.9271879137588869,kde,full
43,0.9695871148329372,kde,full
44,3.698808720316017,kde,full
45,-1.4298677894992324,kde,full
46,-2.243638429808952,kde,full
47,-1.2817958067861515,kde,full
48,-2.3212657350974593,kde,full
49,1.226005615371828,kde,full
50,0.1147055948471763,kde,full
51,-0.5969278351963367,kde,full
52,0.21203523256345225,kde,full
53,12.03116077993827,kde,full
54,-0.9064748833630745,kde,full
55,-2.9791486380942107,kde,full
56,1.5930317969811394,kde,full
57,-2.203552273480721,kde,full
58,2.594047899330404,kde,full
59,-1.8858938748354876,kde,full
60,-0.3770020426716362,kde,full
61,0.7929998931338023,kde,full
62,-1.5070486379496593,kde,full
63,2.2371757385547335,kde,full
64,-2.5518247461032058,kde,full
65,1.4761783354072033,kde,full
66,-1.7991160127347883,kde,full
67,-0.233083299840678,kde,full
68,-2.165259438283702,kde,full
69,1.6118692127496443,kde,full
70,12.561833920186437,kde,full
71,-1.71994225932758,kde,full
72,-0.9226314825380428,kde,full
73,-1.3945226515935063,kde,full
74,1.3642250283637622,kde,full
75,-0.6176822683468752,kde,full
76,7.156566751406995,kde,full
77,-2.7605135910848237,kde,full
78,1.1209649480455683,kde,full
79,7.316395117372385,kde,full
80,-2.751308632048824,kde,full
81,-0.4066981682543298,kde,full
82,-0.24470105555471922,kde,full
83,0.7785457990095244,kde,full
84,0.11690240804568314,kde,full
85,6.438911166101241,kde,full
86,-2.6181725458981497,kde,full
87,0.8523521879389472,kde,full
88,1.1416490815159488,kde,full
89,-2.6015893158388614,kde,full
90,-1.252872146044219,kde,full
91,3.2814088565305584,kde,full
92,-1.5023891942993126,kde,full
93,1.246487525881106,kde,full
94,7.054627818528891,kde,full
95,-2.673785083377708,kde,full
96,1.5236407998444672,kde,full
97,0.5126874074503784,kde,full
98,-1.335607069687367,kde,full
99,0.8896417600341091,kde,full
100,-1.149489911536108,kde,full
101,-0.9187726221269512,kde,full
102,-1.0769571261305682,kde,full
103,3.948568738852469,kde,full
104,-2.667158247478955,kde,full
105,-1.40539725654176,kde,full
106,8.13615042928924,kde,full
107,-2.767699435838079,kde,full
108,-0.09118472855668125,kde,full
109,-1.4409298576749834,kde,full
110,0.09313644225020379,kde,full
111,-1.162811474886811,kde,full
112,-0.966957823490829,kde,full
113,-2.638335269421857,kde,full
114,-0.47043121647140185,kde,full
115,-1.8533567822181898,kde,full
116,-2.593018289325846,kde,full
117,0.9313828476049558,kde,full
118,-1.871834842226967,kde,full
119,3.4633444990121127,kde,full
120,-1.4363051562756775,kde,full
121,0.9924198979598904,kde,full
122,-2.452451421317684,kde,full
123,1.5590076057684996,kde,full
124,-2.479941208071512,kde,full
125,-2.3501105818726304,kde,full
126,1.9173648458437782,kde,full
127,-2.1962369053411024,kde,full
128,-1.1301792266591832,kde,full
129,-2.083031452323023,kde,full
130,0.9197596695004983,kde,full
131,-2.3087912909139425,kde,full
132,-1.4468353834669068,kde,full
133,-1.8471714045210204,kde,full
134,-2.0475007080780037,kde,full
135,2.090271146242764,kde,full
136,-2.0969698578235785,kde,full
137,0.3115198360279028,kde,full
138,-1.0502222004065327,kde,full
139,-1.558533744455746,kde,full
140,-2.5238600791349164,kde,full
141,-1.6575807596182024,kde,full
142,-1.5641258491169001,kde,full
143,-2.722936126210404,kde,full
144,-0.7817667397425835,kde,full
145,1.6331261426265982,kde,full
146,-0.01658619641436665,kde,full
147,0.40106253826182403,kde,full
148,1.2800475052705989,kde,full
149,0.7083959029401027,kde,full
150,-1.1700828565905679,kde,full
151,-1.0921860924967761,kde,full
152,-2.67444411926456,kde,full
153,-0.7348074334444937,kde,full
154,-2.464480664729292,kde,full
155,-1.390272700896705,kde,full
156,-1.236582179702994,kde,full
157,-1.157017569628166,kde,full
158,-2.2810229985370056,kde,full
159,0.7566204422548412,kde,full
160,1.8957448137143464,kde,full
161,0.6933692310183239,kde,full
162,-0.9524103174970028,kde,full
163,-0.4606997777887131,kde,full
164,-2.405250803600435,kde,full
165,-2.5355799126728753,kde,full
166,-2.4355326574348046,kde,full
167,1.1920726901452483,kde,full
168,-0.18707695091243326,kde,full
169,-2.2894639262858774,kde,full
170,-2.3592814841433802,kde,full
171,0.8852855400874573,kde,full
172,-0.5559334204223721,kde,full
173,5.18260253691847,kde,full
174,-0.7879844482471914,kde,full
175,0.10145615246911396,kde,full
176,-2.002015893315672,kde,full
177,-2.4894318720812767,kde,full
178,-2.375461760263874,kde,full
179,-1.817595395432996,kde,full
180,-2.1840127486157876,kde,full
181,-2.2404335576607934,kde,full
182,-2.4091245210491348,kde,full
183,0.9263602200763559,kde,full
184,-2.745971934847462,kde,full
185,-1.819399481421829,kde,full
186,-0.7219462058651438,kde,full
187,-2.5312483209113976,kde,full
188,-1.3126536420676236,kde,full
189,-2.611445078346492,kde,full
190,-2.364761254024793,kde,full
191,-1.9460263572060525,kde,full
192,-2.45684692321989,kde,full
193,-1.9278083274622333,kde,full
194,-2.272343312643354,kde,full
195,-2.302785933908622,kde,full
196,-2.58991462991198,kde,full
197,-1.1969425166546483,kde,full
198,-0.8688477712290748,kde,full
199,-2.342565746681154,kde,full
200,0.1842001906695155,kde,full
201,-2.5376318185912137,kde,full
202,-2.4401679963131078,kde,full
203,-2.2504864344966897,kde,full
204,-0.800404969107718,kde,full
205,-1.0676503890600553,kde,full
206,-1.8790742542136893,kde,full
207,-1.8547916764218633,kde,full
208,-2.4531761894683335,kde,full
209,-1.2219491815959183,kde,full
210,-1.0717975717481603,kde,full
211,-1.809859392651905,kde,full
212,-2.4904809000012373,kde,full
213,-1.3342667698934936,kde,full
214,-2.599910376476619,kde,full
215,-2.339634181190818,kde,full
216,-0.762249341197934,kde,full
217,-0.6821441509057231,kde,full
218,-0.6392292520859959,kde,full
219,-1.0267256784901304,kde,full
220,-1.2459884874708962,kde,full
221,0.1120003821786405,kde,full
222,-1.6822670212578963,kde,full
223,-0.7252329528801741,kde,full
224,-2.2824594409549817,kde,full
225,-2.670700406492039,kde,full
226,-2.6107171068166606,kde,full
227,-2.53093679673178,kde,full
228,-0.8543892949631533,kde,full
229,-0.808831840386112,kde,full
230,-2.456260249364387,kde,full
231,-2.485372409400076,kde,full
232,-0.14414914592930994,kde,full
233,2.985428150059432,kde,full
234,-2.217966770228698,kde,full
235,0.6862263989611608,kde,full
236,-1.735528067037019,kde,full
237,-2.5463859807503164,kde,full
238,-1.9778767409029379,kde,full
239,-2.780094287097392,kde,full
240,-0.9181012614675494,kde,full
241,-1.1793965702164364,kde,full
242,-3.0003692291884163,kde,full
243,-1.8280868311717242,kde,full
244,-2.151807142421132,kde,full
245,2.672325834071688,kde,full
246,-2.2173762333936065,kde,full
247,-1.7003473300922942,kde,full
248,-1.3770500181734113,kde,full
249,-2.0740877625572116,kde,full
250,-0.263812352148743,kde,full
251,-0.8014924555316792,kde,full
252,-1.329994357823001,kde,full
253,-1.6789658440776234,kde,full
254,-2.5643223718213948,kde,full
255,0.5354349932037072,kde,full
256,-1.4986379194844732,kde,full
257,-0.22884573673975495,kde,full
258,-2.2737808943864617,kde,full
259,0.5830308160249711,kde,full
260,1.2212349740172752,kde,full
261,-0.4930578328718751,kde,full
262,2.3814293744796187,kde,full
263,-0.5735897846832055,kde,full
264,-1.9495136336468633,kde,full
265,-2.5756874474397833,kde,full
266,-2.984054528790321,kde,full
267,0.30616423353672084,kde,full
268,0.33115754611044834,kde,full
269,2.1867936620913273,kde,full
270,-1.7753257457445435,kde,full
271,4.481060800974658,kde,full
272,1.6264371613517932,kde,full
273,2.5057325666825214,kde,full
274,-2.6303420435200833,kde,full
275,-0.1477586901866611,kde,full
276,-1.1802855698459476,kde,full
277,-2.55065830697481,kde,full
278,-2.701378555569036,kde,full
279,0.34748371259140953,kde,full
280,0.9293076638587905,kde,full
281,1.4868285728240314,kde,full
282,-0.056672793242389385,kde,full
283,-2.261629542565335,kde,full
284,3.2441872511118874,kde,full
285,2.3181246806725624,kde,full
286,-1.9652065949365873,kde,full
287,0.3115445851701666,kde,full
288,-0.9124194327164538,kde,full
289,-2.530527355310392,kde,full
290,-2.595221570301363,kde,full
291,0.4095634061205031,kde,full
292,3.126146236857217,kde,full
293,2.8933575667463725,kde,full
294,-1.6851563367096933,kde,full
295,-2.0303626720871484,kde,full
296,-2.182221485166429,kde,full
297,-1.1894478087374478,kde,full
298,-2.3683095935788554,kde,full
299,-2.3228809004194475,kde,full
300,-0.9261048621310151,kde,full
301,-2.8699302243869598,kde,full
302,-1.49815876921281,kde,full
303,1.3860914900175927,kde,full
304,-1.7643575229416588,kde,full
305,7.1010952026140925,kde,full
306,-1.2647650732123732,kde,full
307,-1.386115743716574,kde,full
308,-1.898073888894829,kde,full
309,-2.3260132693960576,kde,full
310,-0.7434795685018397,kde,full
311,-2.8309163553335646,kde,full
312,-1.7720590862361871,kde,full
313,-1.3123935142515708,kde,full
314,-4.211276745502443,kde,full
315,-4.081647688977744,kde,full
316,-1.4292066962167147,kde,full
317,-4.888507903401826,kde,full
318,-4.625202094424012,kde,full
319,-4.010221642613384,kde,full
320,-2.6713416986299525,kde,full
321,-0.8794973080269562,kde,full
322,-0.004608455884302032,kde,full
