,value,metric,type
0,1.9729088565214692,kde,full
1,8.95727203332316,kde,full
2,0.09832628145802719,kde,full
3,-1.1243856982009872,kde,full
4,3.482647035077714,kde,full
5,0.10108461280006648,kde,full
6,0.9655121566332991,kde,full
7,0.9677587452786258,kde,full
8,3.2069760020880604,kde,full
9,13.316151071937263,kde,full
10,0.2517886007961947,kde,full
11,-0.9311567373563061,kde,full
12,3.3868858149573375,kde,full
13,-1.002246201276368,kde,full
14,1.9001025732667056,kde,full
15,0.4753288508735099,kde,full
16,-0.013440441453090174,kde,full
17,3.9699054609073983,kde,full
18,16.09308150724266,kde,full
19,0.9241786378633949,kde,full
20,-0.6673778622188486,kde,full
21,-0.41801167920577387,kde,full
22,-0.09373623303413775,kde,full
23,5.686635920464303,kde,full
24,3.0234080541418695,kde,full
25,0.5032465315276411,kde,full
26,-0.954746293700985,kde,full
27,2.6845893977436512,kde,full
28,17.077129944571126,kde,full
29,2.77402508359301,kde,full
30,-0.22367974181279604,kde,full
31,-0.861025854759812,kde,full
32,0.30522276567573814,kde,full
33,3.1147370902569773,kde,full
34,5.404168072235338,kde,full
35,-0.2546547817713304,kde,full
36,-1.955538959924407,kde,full
37,3.852564824790198,kde,full
38,9.349228875839572,kde,full
39,-0.7358907158636464,kde,full
40,0.6014334446392332,kde,full
41,-0.3242780766335366,kde,full
42,0.44047725105705404,kde,full
43,1.1954890646707217,kde,full
44,8.861565546971828,kde,full
45,0.10921988595733892,kde,full
46,-1.5299562792246342,kde,full
47,1.2922646756430476,kde,full
48,-0.7260229466032669,kde,full
49,1.4321037355687045,kde,full
50,1.00181834695706,kde,full
51,0.5258330208977244,kde,full
52,1.082346085276177,kde,full
53,8.5741340425028,kde,full
54,0.5121143417131266,kde,full
55,-0.6198385482170274,kde,full
56,3.0561121076904145,kde,full
57,-0.41908408647238976,kde,full
58,2.471285037920991,kde,full
59,-0.8339710643126902,kde,full
60,1.969462146074052,kde,full
61,8.339656819661723,kde,full
62,-0.6859570966350007,kde,full
63,2.719423406579882,kde,full
64,0.297108656292995,kde,full
65,2.859454302903778,kde,full
66,0.6473797676339816,kde,full
67,2.6764304566557358,kde,full
68,-1.2208860190901847,kde,full
69,6.01835461591012,kde,full
70,15.597638732807125,kde,full
71,-0.7046218607506481,kde,full
