,value,metric,type
0,0.7979912096731283,fde,ml
1,1.8645319459701633,fde,ml
2,0.7900435001179298,fde,ml
3,0.4077893279595642,fde,ml
4,2.141227587726931,fde,ml
5,0.33274215952491865,fde,ml
6,0.5560104417185688,fde,ml
7,0.4789697187037328,fde,ml
8,0.7998512780604655,fde,ml
9,2.497342672007964,fde,ml
10,0.7884676268248559,fde,ml
11,0.285793002127328,fde,ml
12,1.0343725258634293,fde,ml
13,0.07268970104669996,fde,ml
14,1.0044817611288728,fde,ml
15,0.6862634271383534,fde,ml
16,0.32161967981928125,fde,ml
17,1.1910560263039067,fde,ml
18,2.768854188710014,fde,ml
19,0.867489682998188,fde,ml
20,0.5320501690280497,fde,ml
21,0.32888157246382255,fde,ml
22,0.5563870856895508,fde,ml
23,1.2710743015715973,fde,ml
24,1.3938058421803878,fde,ml
25,0.2504764561931988,fde,ml
26,0.26213096702553873,fde,ml
27,1.6163512223630918,fde,ml
28,2.1661297884266193,fde,ml
29,0.9433104405481083,fde,ml
30,0.5559007961631879,fde,ml
31,0.25228499290592,fde,ml
32,0.7232436804659697,fde,ml
33,0.8341824300227291,fde,ml
34,1.5185904455067372,fde,ml
35,0.29928883890826463,fde,ml
36,0.13309058248633207,fde,ml
37,2.064297486522886,fde,ml
38,1.7755875429713517,fde,ml
39,0.2990718322868593,fde,ml
40,0.6700097058799246,fde,ml
41,0.4172580153130981,fde,ml
42,0.2557868553072216,fde,ml
43,0.4920383289379216,fde,ml
44,1.6120681014957008,fde,ml
45,0.5643061127673271,fde,ml
46,0.06856395499347019,fde,ml
47,1.6262964324429674,fde,ml
48,0.3956125534170738,fde,ml
49,0.5728879214653645,fde,ml
50,0.6751152482428677,fde,ml
51,0.8166611334957725,fde,ml
52,0.8346719312249861,fde,ml
53,1.5662577738687882,fde,ml
54,0.7051286549265925,fde,ml
55,0.37522340722453384,fde,ml
56,2.1295070093090698,fde,ml
57,0.5797859289725726,fde,ml
58,0.47704827806315275,fde,ml
59,0.2748764360797722,fde,ml
60,1.1357509431803008,fde,ml
61,1.714858567161597,fde,ml
62,0.39436671643226395,fde,ml
63,1.4780536796319785,fde,ml
64,0.5801616234259169,fde,ml
65,1.7825234308447133,fde,ml
66,0.8147242964362468,fde,ml
67,1.909167198501296,fde,ml
68,0.15493884647556597,fde,ml
69,1.272246818826583,fde,ml
70,2.1501910598940235,fde,ml
71,0.4521886119633265,fde,ml
72,0.3462610352528282,fde,ml
73,0.7777355697745982,fde,ml
74,1.2103782545624815,fde,ml
75,1.0884422830187737,fde,ml
76,2.059115851149697,fde,ml
77,0.11153149453273627,fde,ml
78,1.0803407291857667,fde,ml
79,1.61531579874038,fde,ml
80,0.1888161203672139,fde,ml
81,0.26229630035128887,fde,ml
82,0.973330091220202,fde,ml
83,0.6460064547853321,fde,ml
84,1.1831774206916008,fde,ml
85,1.3525078719063828,fde,ml
86,0.15117635689150824,fde,ml
87,0.9879854023476353,fde,ml
88,0.7067893877814477,fde,ml
89,0.32107357432312184,fde,ml
90,1.0995302210924363,fde,ml
91,1.2110520530809494,fde,ml
92,0.7615516040330008,fde,ml
93,1.2021914594482144,fde,ml
94,1.9384540978360345,fde,ml
95,0.08966591655083926,fde,ml
96,1.0843096419460212,fde,ml
97,0.6992509491516158,fde,ml
98,0.4748819174133612,fde,ml
99,1.7186491362543637,fde,ml
100,0.5838570923467433,fde,ml
101,0.8824175283416269,fde,ml
102,0.6327194356026968,fde,ml
103,1.0885466946660005,fde,ml
104,0.16875359095363737,fde,ml
105,0.5794337971408707,fde,ml
106,0.8338572428144523,fde,ml
107,0.28156268736582807,fde,ml
108,1.7351065211888612,fde,ml
109,0.44728502841014106,fde,ml
110,0.943777305312713,fde,ml
111,0.4213799777249104,fde,ml
112,0.4404131747417405,fde,ml
113,0.24661176409491142,fde,ml
114,0.6063416573583195,fde,ml
115,0.15462049745652467,fde,ml
116,0.3491749744416115,fde,ml
117,1.9670953008498915,fde,ml
118,0.3578234252553342,fde,ml
119,1.0386429911325206,fde,ml
120,0.07506365448146492,fde,ml
121,0.5789089615062296,fde,ml
122,0.3165104507907137,fde,ml
123,0.6673396419017423,fde,ml
124,0.06157513393522547,fde,ml
125,0.4670982158457025,fde,ml
126,2.086570090449346,fde,ml
127,0.32845140340167656,fde,ml
128,0.7358141724849884,fde,ml
129,0.2888105896296831,fde,ml
130,1.1655576688977751,fde,ml
131,0.3819353943650735,fde,ml
132,0.38765041944146406,fde,ml
133,0.09227007257533865,fde,ml
134,0.5772042036822066,fde,ml
135,1.5942256774252763,fde,ml
136,0.3758194195949166,fde,ml
137,1.4104909579876228,fde,ml
138,0.8127342685165527,fde,ml
139,0.7874922722025692,fde,ml
140,0.29852942745867367,fde,ml
141,0.46097525534334083,fde,ml
142,0.33903353370750544,fde,ml
143,0.3505058384805783,fde,ml
144,0.6600104117096361,fde,ml
145,0.8946315346333757,fde,ml
146,0.5101926218829299,fde,ml
147,1.359273258093528,fde,ml
148,1.5840591945691853,fde,ml
149,1.5828924301808394,fde,ml
150,0.843061338810043,fde,ml
151,0.7653706689187636,fde,ml
152,0.2997975942269426,fde,ml
153,0.42054792773351735,fde,ml
154,0.25447030202438475,fde,ml
155,0.5203269364012474,fde,ml
156,0.35997317669641804,fde,ml
157,0.3992596950986385,fde,ml
158,0.26114341603254454,fde,ml
159,1.1906430416138454,fde,ml
160,1.5746234745653107,fde,ml
161,1.6541945901005406,fde,ml
162,0.8889858220926109,fde,ml
163,0.6957965425137613,fde,ml
164,0.3596269250057037,fde,ml
165,0.08779774569787023,fde,ml
166,0.22595889565458954,fde,ml
167,0.6489438058212954,fde,ml
168,0.8788399156888401,fde,ml
169,0.33754224690350215,fde,ml
170,0.22166325978667595,fde,ml
171,0.9521295480931805,fde,ml
172,0.37122255004132304,fde,ml
173,2.0053496927034997,fde,ml
174,0.9079636580790191,fde,ml
175,0.4135142421132433,fde,ml
176,0.4054510655223309,fde,ml
177,0.0672385162110968,fde,ml
178,0.19805897851801577,fde,ml
179,0.34029277915963096,fde,ml
180,0.2905549630902205,fde,ml
181,0.45103685861151127,fde,ml
182,0.2603886539001716,fde,ml
183,0.5565635371564855,fde,ml
184,0.2526855292778472,fde,ml
185,0.10476611489524786,fde,ml
186,0.842254991461952,fde,ml
187,0.39169381053617486,fde,ml
188,0.4393180213488908,fde,ml
189,0.17814014197441042,fde,ml
190,0.17970798208199223,fde,ml
191,0.2512195181516067,fde,ml
192,0.44078254508801146,fde,ml
193,0.6131122742930102,fde,ml
194,0.34542906487479286,fde,ml
195,0.4529574516771054,fde,ml
196,0.29608256999419447,fde,ml
197,0.23804191635237404,fde,ml
198,0.7475278242813039,fde,ml
199,0.5429687235735399,fde,ml
200,0.55240308726744,fde,ml
201,0.29198957584730695,fde,ml
202,0.199385093275394,fde,ml
203,0.18263480402464605,fde,ml
204,0.7316862046890081,fde,ml
205,0.7721598902300855,fde,ml
206,0.4763241679794002,fde,ml
207,0.3890426712978552,fde,ml
208,0.4539058329829967,fde,ml
209,0.46878555631642466,fde,ml
210,0.32162461867326336,fde,ml
211,0.4934764749918867,fde,ml
212,0.6117679757995328,fde,ml
213,0.5544360610629353,fde,ml
214,0.2616972888816269,fde,ml
215,0.12475750669901,fde,ml
216,0.7662076774900333,fde,ml
217,0.7949193778664628,fde,ml
218,0.6149329902136933,fde,ml
219,0.25193983043080415,fde,ml
220,0.5633702839094409,fde,ml
221,0.9452962012113147,fde,ml
222,0.18862799157548213,fde,ml
223,0.4442130480347208,fde,ml
224,0.6084847763213842,fde,ml
225,0.4703030956846183,fde,ml
226,0.35729542022600325,fde,ml
227,0.20867274878636785,fde,ml
228,0.7413946391120336,fde,ml
229,0.6777002854354176,fde,ml
230,0.269195258505748,fde,ml
231,0.2942400247072397,fde,ml
232,0.3068817323717971,fde,ml
233,1.2021034535832122,fde,ml
234,0.2531944671980986,fde,ml
235,0.4047441578594887,fde,ml
236,0.6404842688688818,fde,ml
237,0.7561549233571733,fde,ml
238,0.5335947635563671,fde,ml
239,0.32281535439333897,fde,ml
240,0.6967628565408169,fde,ml
241,0.5342033369896206,fde,ml
242,0.16597099295951367,fde,ml
243,0.6198340110689484,fde,ml
244,0.39605403197971767,fde,ml
245,0.41496615934804615,fde,ml
246,0.36711963004052744,fde,ml
247,0.7095243833465903,fde,ml
248,0.657651852405546,fde,ml
249,1.148427460444709,fde,ml
250,0.6894133305203975,fde,ml
251,0.661396824977179,fde,ml
252,0.6292803985470513,fde,ml
253,0.3380867572432477,fde,ml
254,0.2572976646552861,fde,ml
255,1.5572899962856732,fde,ml
256,1.023187482843779,fde,ml
257,1.6789120963543742,fde,ml
258,0.519097310310617,fde,ml
259,0.8111438650216115,fde,ml
260,0.7424098249539385,fde,ml
261,1.468840078396063,fde,ml
262,0.7892673247620712,fde,ml
263,0.634914416469981,fde,ml
264,0.5788292082013496,fde,ml
265,0.13945084195044935,fde,ml
266,0.20663899764466007,fde,ml
267,1.4865963015743258,fde,ml
268,1.385948698401199,fde,ml
269,1.998165862213791,fde,ml
270,0.6957319878732262,fde,ml
271,0.7927430573450749,fde,ml
272,1.3204121008505227,fde,ml
273,1.7936488516844713,fde,ml
274,0.3387101904418519,fde,ml
275,0.4932966702250555,fde,ml
276,0.7881000574418384,fde,ml
277,0.09419101790042145,fde,ml
278,0.17337056584251612,fde,ml
279,1.2860927646323381,fde,ml
280,1.5219464926676924,fde,ml
281,1.829949284191069,fde,ml
282,0.8670328875946649,fde,ml
283,0.40665127568916326,fde,ml
284,0.9036508246747688,fde,ml
285,1.580283642830112,fde,ml
286,0.6403485188679361,fde,ml
287,0.3610009451373629,fde,ml
288,0.7954225298641187,fde,ml
289,0.05391474373631525,fde,ml
290,0.21594899248129862,fde,ml
291,0.9876322531221836,fde,ml
292,1.4395560820993376,fde,ml
293,1.4956560503388832,fde,ml
294,0.5704225168425783,fde,ml
295,0.5253605740681666,fde,ml
296,0.6124387971065253,fde,ml
297,0.8414630877568009,fde,ml
298,0.5717877213550777,fde,ml
299,0.12954713391822517,fde,ml
300,0.7506728440304665,fde,ml
301,0.07283158911840872,fde,ml
302,0.6279867807496787,fde,ml
303,0.6041267992766947,fde,ml
304,0.05987308855111665,fde,ml
305,1.1056537770246955,fde,ml
306,0.6319894405189416,fde,ml
307,0.8246548952560785,fde,ml
308,0.8987130564676356,fde,ml
309,0.10240438908775094,fde,ml
310,0.7007102648665329,fde,ml
311,0.15530123184578049,fde,ml
312,0.8297532064395833,fde,ml
313,0.7375344641196029,fde,ml
314,0.04065908246529203,fde,ml
315,0.1223928093881639,fde,ml
316,0.1663514498284906,fde,ml
317,0.13366511030411998,fde,ml
318,0.19834774502179578,fde,ml
319,0.21629983166008288,fde,ml
320,0.314070130449044,fde,ml
321,0.3937105527848626,fde,ml
322,0.3925311763611483,fde,ml
323,0.22271791689871565,fde,ml
324,0.14465308438633337,fde,ml
325,0.35797095093742476,fde,ml
326,0.8792106541847913,fde,ml
327,0.1362735562405449,fde,ml
328,0.11554689961219355,fde,ml
329,0.5411416288980471,fde,ml
330,0.16639786568054282,fde,ml
331,0.6159493887882169,fde,ml
332,0.3072932197469438,fde,ml
333,0.16855849282556792,fde,ml
334,0.2683259209626949,fde,ml
335,0.23662919931247292,fde,ml
336,0.5043098225027943,fde,ml
337,0.28696553902929417,fde,ml
338,0.04926704968433123,fde,ml
339,0.46057159742888537,fde,ml
340,0.5888934431121439,fde,ml
341,0.25294579951905727,fde,ml
342,0.1077097461905644,fde,ml
343,0.3250425586706498,fde,ml
344,0.1423568763909478,fde,ml
345,1.0681916831141343,fde,ml
346,0.3079021198469302,fde,ml
347,0.4409979224969367,fde,ml
348,0.34453803309259395,fde,ml
349,0.3417740983782157,fde,ml
350,0.6598071429496615,fde,ml
351,0.38170723660781486,fde,ml
352,0.5155834606273362,fde,ml
353,0.8362590926201111,fde,ml
354,0.10425974945434355,fde,ml
355,0.2510581655612651,fde,ml
356,0.2592785480958111,fde,ml
357,1.4679481115515287,fde,ml
358,0.3058093018479944,fde,ml
359,1.1900528018246628,fde,ml
360,0.3228539101369532,fde,ml
361,0.36829214725628984,fde,ml
362,0.4811414451162052,fde,ml
363,1.021247198247829,fde,ml
364,0.54956671753391,fde,ml
365,0.47332022580111016,fde,ml
366,2.9726913485691635,fde,ml
367,1.2787982076087157,fde,ml
368,0.07278296917821181,fde,ml
369,0.710751033838418,fde,ml
370,0.429909136995363,fde,ml
371,0.25645962765848823,fde,ml
372,0.16698410687800191,fde,ml
373,0.9997375065269273,fde,ml
374,0.27748784563843654,fde,ml
375,0.3446227744989829,fde,ml
376,0.5388302299735598,fde,ml
377,1.4885388666382187,fde,ml
378,0.703015733238673,fde,ml
