,value,metric,type
0,0.3549333277713035,ade,ml
1,0.2899900572525804,ade,ml
2,0.10798043666183456,ade,ml
3,0.1215485134813403,ade,ml
4,0.7467578797662304,ade,ml
5,0.23825038979751892,ade,ml
6,0.15876212539672466,ade,ml
7,0.2778179970950512,ade,ml
8,0.34605182604463225,ade,ml
9,0.5127246181733343,ade,ml
10,0.1503615796898355,ade,ml
11,0.05682591460573384,ade,ml
12,0.3714491600781967,ade,ml
13,0.15264645234556362,ade,ml
14,0.1528100213216607,ade,ml
15,0.1946489774228638,ade,ml
16,0.10240106338095353,ade,ml
17,0.4256266013045862,ade,ml
18,0.8262666784972865,ade,ml
19,0.24779190876161122,ade,ml
20,0.05645751526489489,ade,ml
21,0.1173373466413393,ade,ml
22,0.10999637632234706,ade,ml
23,0.35938320640190713,ade,ml
24,0.3091809773399924,ade,ml
25,0.2270694487424767,ade,ml
26,0.10913658478604155,ade,ml
27,0.3497641244021199,ade,ml
28,0.7169154362355137,ade,ml
29,0.39771681927496116,ade,ml
30,0.08974207864193914,ade,ml
31,0.07151386249169409,ade,ml
32,0.22236286374689873,ade,ml
33,0.3569408743753135,ade,ml
34,0.4162099900718355,ade,ml
35,0.07868124768810679,ade,ml
36,0.044466102877294744,ade,ml
37,0.5140184069381577,ade,ml
38,0.593542916276887,ade,ml
39,0.10288175544586751,ade,ml
40,0.21135483458944637,ade,ml
41,0.11818119300078828,ade,ml
42,0.2382261448342115,ade,ml
43,0.31234500147693356,ade,ml
44,0.5517322953896882,ade,ml
45,0.09596327449180614,ade,ml
46,0.08512958410032277,ade,ml
47,0.25672040804885665,ade,ml
48,0.0961030425108958,ade,ml
49,0.33082915028035803,ade,ml
50,0.28310356005613313,ade,ml
51,0.29805568912770164,ade,ml
52,0.2512881377882916,ade,ml
53,0.6921927605158817,ade,ml
54,0.1579914362662015,ade,ml
55,0.0400646676704145,ade,ml
56,0.570733758539768,ade,ml
57,0.10524700794777334,ade,ml
