,value,metric,type
0,1.3897675027561827,kde,full
1,7.015355697088747,kde,full
2,-0.9385477800424404,kde,full
3,-1.905670579864106,kde,full
4,2.743329235785293,kde,full
5,0.6484597448242311,kde,full
6,-0.017748419352922817,kde,full
7,0.9577175268294598,kde,full
8,2.110563316361726,kde,full
9,12.920552497480116,kde,full
10,-0.6320749076002521,kde,full
11,-1.7281887870884762,kde,full
12,2.9610418811460044,kde,full
13,-1.1682884956276767,kde,full
14,0.8276922731499775,kde,full
15,0.23763634636296893,kde,full
16,-0.3792981613013586,kde,full
17,3.9466776573881193,kde,full
18,14.637098821351808,kde,full
19,0.24309834294113386,kde,full
20,-1.584066710708477,kde,full
21,-1.034442000857447,kde,full
22,-0.8771279504728968,kde,full
23,8.034670944339869,kde,full
24,1.5396069382868778,kde,full
25,0.4452568389450948,kde,full
26,-1.5632642424701029,kde,full
27,1.9150178764990415,kde,full
28,13.121507226658416,kde,full
29,2.5210439174054837,kde,full
30,-1.0597904332760208,kde,full
31,-1.5092168599348936,kde,full
32,-0.2050123443887527,kde,full
33,2.4877276853018198,kde,full
34,4.887128473975606,kde,full
35,-0.7975211185755944,kde,full
36,-2.444753585289477,kde,full
37,2.7882830580237044,kde,full
38,5.319469109627905,kde,full
39,-1.5054169444714052,kde,full
40,0.005790204036209556,kde,full
41,-1.073955003542679,kde,full
42,0.9459271722653687,kde,full
43,0.8995936519991632,kde,full
44,6.415094701960319,kde,full
45,-0.6210385339727962,kde,full
46,-1.8844163627424928,kde,full
47,0.23755140309347078,kde,full
48,-1.4346165316726447,kde,full
49,1.6064688081357092,kde,full
50,0.6998222049973948,kde,full
51,0.057190307512544586,kde,full
52,0.6352765508103251,kde,full
53,13.962611640938489,kde,full
54,0.03503057677589827,kde,full
55,-1.8892046685984552,kde,full
56,2.5910280820623486,kde,full
57,-1.1682083870045414,kde,full
58,3.868096869774424,kde,full
59,-1.252211548179171,kde,full
60,0.5208855565453768,kde,full
61,5.294474462692191,kde,full
62,-1.0288982150287556,kde,full
63,2.6057474433415666,kde,full
64,-0.9613898208647873,kde,full
65,2.4583553468055848,kde,full
66,-0.47978029231123565,kde,full
67,1.8952665881066517,kde,full
68,-1.6205603469226324,kde,full
69,4.435832602473039,kde,full
70,12.94127468439423,kde,full
71,-1.185680935375001,kde,full
72,-0.4642862803229106,kde,full
73,0.38380931057569634,kde,full
74,1.9282379183451797,kde,full
75,0.6669342486099111,kde,full
76,9.868098586797736,kde,full
77,-2.027706757969783,kde,full
78,3.0512303511985275,kde,full
79,11.474107562008163,kde,full
80,-2.012501562818769,kde,full
81,-0.15060372430981173,kde,full
82,1.2013221630843498,kde,full
83,1.5553700532977908,kde,full
84,1.1161470308899282,kde,full
85,4.121614058075682,kde,full
86,-1.9813247670408818,kde,full
87,1.900138377151439,kde,full
88,1.8248882989531712,kde,full
89,-1.6452642584052632,kde,full
90,0.5965438550123598,kde,full
91,3.921421902160297,kde,full
92,-0.1279724519923493,kde,full
93,1.4807942583643452,kde,full
94,11.262062683641712,kde,full
95,-2.036459956752713,kde,full
