,value,metric,type
243,0.0,road_viols,full
244,0.0,road_viols,full
245,0.0,road_viols,full
246,0.0,road_viols,full
247,1482.0,road_viols,full
248,0.0,road_viols,full
249,0.0,road_viols,full
250,0.0,road_viols,full
251,1999.0,road_viols,full
252,0.0,road_viols,full
253,0.0,road_viols,full
254,0.0,road_viols,full
255,0.0,road_viols,full
256,0.0,road_viols,full
257,0.0,road_viols,full
258,0.0,road_viols,full
259,1963.0,road_viols,full
260,0.0,road_viols,full
261,0.0,road_viols,full
262,0.0,road_viols,full
263,0.0,road_viols,full
264,0.0,road_viols,full
265,0.0,road_viols,full
266,0.0,road_viols,full
267,0.0,road_viols,full
268,0.0,road_viols,full
269,0.0,road_viols,full
270,0.0,road_viols,full
271,1999.0,road_viols,full
272,0.0,road_viols,full
273,0.0,road_viols,full
274,0.0,road_viols,full
275,0.0,road_viols,full
276,0.0,road_viols,full
277,0.0,road_viols,full
278,0.0,road_viols,full
279,0.0,road_viols,full
280,0.0,road_viols,full
281,0.0,road_viols,full
282,0.0,road_viols,full
283,1998.0,road_viols,full
284,0.0,road_viols,full
285,0.0,road_viols,full
286,0.0,road_viols,full
287,0.0,road_viols,full
288,0.0,road_viols,full
289,0.0,road_viols,full
290,0.0,road_viols,full
291,0.0,road_viols,full
292,0.0,road_viols,full
293,0.0,road_viols,full
294,0.0,road_viols,full
295,0.0,road_viols,full
296,0.0,road_viols,full
297,0.0,road_viols,full
298,0.0,road_viols,full
299,0.0,road_viols,full
300,0.0,road_viols,full
301,0.0,road_viols,full
302,0.0,road_viols,full
303,0.0,road_viols,full
304,0.0,road_viols,full
305,0.0,road_viols,full
306,0.0,road_viols,full
307,0.0,road_viols,full
308,0.0,road_viols,full
309,0.0,road_viols,full
310,0.0,road_viols,full
311,0.0,road_viols,full
312,0.0,road_viols,full
313,0.0,road_viols,full
314,72.0,road_viols,full
315,59.0,road_viols,full
316,84.0,road_viols,full
317,48.0,road_viols,full
318,52.0,road_viols,full
319,62.0,road_viols,full
320,57.0,road_viols,full
321,59.0,road_viols,full
322,56.0,road_viols,full
323,0.0,road_viols,full
324,100.0,road_viols,full
325,0.0,road_viols,full
326,1990.0,road_viols,full
327,234.0,road_viols,full
328,152.0,road_viols,full
329,3.0,road_viols,full
330,0.0,road_viols,full
331,0.0,road_viols,full
332,1992.0,road_viols,full
333,174.0,road_viols,full
334,0.0,road_viols,full
335,98.0,road_viols,full
336,0.0,road_viols,full
337,13.0,road_viols,full
338,273.0,road_viols,full
339,188.0,road_viols,full
340,6.0,road_viols,full
341,0.0,road_viols,full
342,1975.0,road_viols,full
343,1999.0,road_viols,full
344,151.0,road_viols,full
345,1870.0,road_viols,full
346,0.0,road_viols,full
347,0.0,road_viols,full
348,1999.0,road_viols,full
349,269.0,road_viols,full
350,0.0,road_viols,full
351,12.0,road_viols,full
352,69.0,road_viols,full
353,231.0,road_viols,full
354,0.0,road_viols,full
355,0.0,road_viols,full
356,1368.0,road_viols,full
357,0.0,road_viols,full
358,56.0,road_viols,full
359,1905.0,road_viols,full
360,0.0,road_viols,full
361,0.0,road_viols,full
362,1999.0,road_viols,full
363,87.0,road_viols,full
364,0.0,road_viols,full
365,4.0,road_viols,full
366,171.0,road_viols,full
367,145.0,road_viols,full
368,0.0,road_viols,full
369,0.0,road_viols,full
370,1733.0,road_viols,full
371,1998.0,road_viols,full
372,9.0,road_viols,full
373,0.0,road_viols,full
374,0.0,road_viols,full
